# mark component_1_count component_2_count component_3_count total_fit_count data_count
2.9000000000e+01 3.3583600855e+03 1.1778478543e+03 8.2247197529e+01 4.6184551373e+03 3.9840000000e+03
3.0000000000e+01 3.4727312728e+03 1.2020864465e+03 1.1526917327e+02 4.7900868925e+03 8.4680000000e+03
3.1000000000e+01 3.5874631315e+03 1.2265692041e+03 1.4538196745e+02 4.9594143031e+03 4.8620000000e+03
3.2000000000e+01 3.7025603803e+03 1.2513600622e+03 1.6850101572e+02 5.1224214582e+03 4.4650000000e+03
3.3000000000e+01 3.7814014083e+03 1.2497408991e+03 8.6992625907e+01 5.1181349333e+03 4.5280000000e+03
3.4000000000e+01 3.8997686258e+03 1.2745721454e+03 1.2142396448e+02 5.2957647356e+03 4.5790000000e+03
3.5000000000e+01 4.0179552581e+03 1.2995828114e+03 1.5260634216e+02 5.4701444117e+03 9.9650000000e+03
3.6000000000e+01 4.1359511533e+03 1.3248098976e+03 1.7635581040e+02 5.6371168613e+03 5.6560000000e+03
3.7000000000e+01 4.2189693333e+03 1.3244960895e+03 9.1963510381e+01 5.6354289332e+03 5.2330000000e+03
3.8000000000e+01 4.3396234702e+03 1.3499461924e+03 1.2784520674e+02 5.8174148693e+03 5.0540000000e+03
3.9000000000e+01 4.4595056741e+03 1.3755134236e+03 1.6012841439e+02 5.9951475121e+03 5.1850000000e+03
4.0000000000e+01 4.5785999559e+03 1.4012342006e+03 1.8455519316e+02 6.1643893497e+03 1.1056000000e+04
4.1000000000e+01 4.6637445911e+03 1.4019977464e+03 9.7166914248e+01 6.1629092517e+03 6.5230000000e+03
4.2000000000e+01 4.7846797573e+03 1.4280756764e+03 1.3453781680e+02 6.3472932505e+03 5.7520000000e+03
4.3000000000e+01 4.9042086472e+03 1.4542196066e+03 1.6794353031e+02 6.5263717840e+03 5.6720000000e+03
4.4000000000e+01 5.0223163595e+03 1.4804534414e+03 1.9306471964e+02 6.6958345206e+03 5.8790000000e+03
4.5000000000e+01 5.1073545883e+03 1.4821158670e+03 1.0261021761e+02 6.6920806729e+03 1.2593000000e+04
4.6000000000e+01 5.2263228584e+03 1.5088186411e+03 1.4150845963e+02 6.8766499592e+03 7.2720000000e+03
4.7000000000e+01 5.3432209373e+03 1.5355410423e+03 1.7605535309e+02 7.0548173327e+03 6.4520000000e+03
4.8000000000e+01 5.4580409925e+03 1.5623018667e+03 2.0187859429e+02 7.2222214535e+03 6.3360000000e+03
4.9000000000e+01 5.5406006575e+03 1.5646973062e+03 1.0830087438e+02 7.2135988380e+03 6.5210000000e+03
5.0000000000e+01 5.6551832049e+03 1.5920181988e+03 1.4876412537e+02 7.3959655291e+03 1.3853000000e+04
5.1000000000e+01 5.7670205113e+03 1.6193087092e+03 1.8446957689e+02 7.5707987975e+03 7.7300000000e+03
5.2000000000e+01 5.8761173410e+03 1.6465908067e+03 2.1099958616e+02 7.7337077338e+03 7.0150000000e+03
